tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
"Что происходит, когда человек заражается сразу двумя штаммами COVID-19?

 ", Ни..уясе аж 1917 года изнутри разрушает 🤣, За интернет и бабульки выйдут на улицу! Не рискуй путин," Ого, как в комментарии слетаются рагули. Просто как мухи на дерьмо! 😁"," Если он всеобщий и не отвечает цензуре определённого режима, безусловно, это угроза.", Вот же диктаторов интернет бесит..., Just like Das Kapital did in the past!, Ого. Эффективней чем дешевая алкашка в магазинах?," Разрушать интернет может только лапшу, которую всякие плешивые дегенераты пытаются вешать всему обществу на уши.", Рыхтуемся да блакіроўкі," Фигассе заява от президента! Это что же он за общество такое построил, воспитанное ""на великих победах дИдов… "," Yeah, by informing people how corrupted their government is.", Мудрые китайцы это сразу поняли и теперь это самая развитая страна в мире..., Открыл Америку...," Вы издеваетесь, нам своего говна мало что ли"," Maybe he is correct?
Twitter, YouTube and Facebook needs to BAN all Kremlin and Kremlin sponsored accounts."," Интернет разрушает не общество, а ложь в обществе. С приходом интернета, пердункам вроде путена, стало невоз… "," бункерная пыня с диалапа в чебурнете зависает, оттого совсем мозги отгнили, если когда там что-то вообще было"," Время людей помнящих СССР стремительно уходит, как песок сквозь пальцы.", ," Ну пусть при помощи интернета разрушит общество в: Германии, Франции, США, Японии и т.д. Что, не очень то по… ", Важное заявление Путина на счёт интернета , Поверьте...он больше всех интересуется интернетом. Это просто позиция для терпил  - мол я такой консервативн… , поэтому его надо отключить ....," слухи подтверждаются, путлер хочет  ввести железный занавес и китайский файрволл", Надо начинать с себя ИМХО," Тутбай, Вы НЕ согласны?????? Вы же этим занимаетесь ежедневно в РБ!", Больной на голову, Ещё один представитель кнопочных," Общество в кавычки.
Или замените на быдлостадо.", Путін Хуйло, путин - хуйло!," Правильно,каждому в квартиру по мутному зеркалу,пусть 'старший брат'смотрит на нас."," Смена транспорта с лошадей на автомобили - тоже самое, это просто часть прогресса", ,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Новой Боровой на крыше одного из домов повесили большой красно-зеленый флаг.

Местные жители пишут, что для этого… ", Красота!," It is only a rag from which blood drips.
It will not be the rag of the future.
Let's see how long the rag of the blood regime hangs", Яматки в трауре," терпите, беларусы", Ну теперь то уж точно все воспылают любовью к лукашизму, Блять 🤬🤬🤬🤬🤬🤬🤬🤬🤬, МОЛОДЦЫ!, 🤣🤣🤣 вскрыли доступ🤣🤣🤣 МЧС доступ вскрыло?, Супер спасибо, Ещё ФСБ РФ снайперов на соседних крышах поставили.  Точно говорю., красота," Што ты не павесь, ну ўсё роўна вас гэтыя людзі ненавідзяць. Тое што вы ваткнулі гэту палку на даху гэта што… ", После провала революции - реакция, кз-дебилы," Парень подкладывает в гульфик носок, девушка вату в бюстгальтер, ябатьки вешают лукафлаг в протестном районе."," Теперь ждём репортажа Азаренка о подвиге, сравнимом со взятием Рейхстага)"," Вибачте, а в Біларусі дахами менти завідують ?", отлично! и пусть попробуют снимут... а это уже статья УК.., 👍👍👍, О Конституции Беларуси вспомнилось , Ну так на то эти структуры и созданы. Или нет?," То есть что, когда над одном из домов стояло бчб знамя, это не было нарушением противопожарной безопасности,… ", Красиво!!!!," пишите заяву о том, что горючие материалы на крыше", ЗачЭм? ))), HELLarus 🇧🇾," МЧС вскрыли доступ на крышу....
Как посмели!)))", Так можно или нельзя флаги на крыше??? Или зелёный цвет не горит? 🙄," Блядь, какие же беспросветные долбоёбы..."," Эта флагофрения уже выходит за рамки разумного и неразумного. Этим же кретинам, кто исполняет волю больного… "," внучки лагерных вертухаев во всей красе. все награды,  за выстрелы в затылок и пытки безоружных гражданских"," Ну все, терь точно патриотизЬм распространится на весь район! Ну и, как известно, государственный флаг огнеу… "," Они не пытаются заставить полюбить, это просто месть. И делают они это по той же причине, по которой коты ли… "," Это ни Синепальцему, ни его красаўцам не поможет)))
Вот убогие, все как в совке: на все, что способны - это… "," Любовь к флагу, так не прививается, такая любовь строится из рабочих законов и качества жизни, а не благодар… "," Блин они там ненавистью питаются что ли на завтрак, обед и ужин или что..."," Горит, горит змагарский пукан 👍👍👍👍."," беззаконие при всемерной поддержке @112by. Вам не стыдно, спасатели, такой фигней заниматься? 
ВСКРЫВАТЬ ДОС… ", Открытая война и установка флагов на завоёванных зданиях?, Жыве Белорусь!," говорят, что скоро запретят жёлтый сигнал на светофорах"," От, красiва здзелалi. Дауно пара была захвацiць цытадэль", Ахахаха они рейхстаг перепутали с Новой боровой или это репетиция 🤷‍♀️, , Блядзі," Прымусам немагчыма заставіць нешта любіць. Кпд акцыі- хутчэй мінусавы, мне здаецца. Выратавальнікі, вам не сорамна?", Имхо это незаконное проникновение на частную собственность. Установка конструкций не предусмотренных проекто… , Capture the flag mode," Недолго эта тряпка там провисит). 
Ну если только лукафашики не обмотают флагшток колючкой, а подступы не заминируют.))", полегчало?,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Известная правозащитная организация — о независимости судебной системы и верховенстве закона в Беларуси. ," Там должна бать оценка -100, а не 0.", , , Заслуженно, , Вы уточняйте что 100% независимости получают те кто 100% под контрооем США)," Известна правозашитная, НАТО или Госдеп ?)))", , , ," Щас Ермошина ""8"" припишет"," ""Только не смейтесь, у нас самый независимый суд в мире""", ОО - такая оценка вашим потугам," Верховенство права есть только в правовых странах, а право проверяется просто. Если то что написано в консти… "," Ну Freedom House, финансируемый правительством ""самой демократичной страны мира"" периодически стреляющей ""вн… "," - Какова оценка независимости судебной системы и верховенства закопана в Беларуси?
- Думаю что овал.", ," В Вашiнгтоне, каля нуля))"," невозможно оценить то, чего нет", обычный репрессивный орган :(, надеюсь хотя бы худой, -150000000 дно же непробиваемое,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Идея — утеплить дом опилками. 

Сколько это стоит, какие есть за и против?

 ", гореть будет классно! если в @112by  еще остались нормальные профессионалы они подтвердят.," Пожароопасная идея, лучше утеплять только специальными утеплителями типа каменной ваты.", а як потім горить , в древности люди утепляли дома иголками от елок.," завиральная, пустая, фантастически идиотская идея"," Ідэя гаўно. Завядецца жыўнасць- наробіць хадоў- вось вам і свішчы, мостыкі холаду. 
Існуе нармальны варыянт… ", Є поняття - протипожежна безпека!!! Так можна й порохом утеплити!," За: экологичность (*нет)
Против: 
1. пожароопасность (если с пропиткой - прощай экологичность)
2. Насекомые… ", И облить бензином," Отличная идея, только опилки нужно гасить пушонкой...", насекомые заведуться сто пудов,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Можно ли детям пить напитки из холодильника? 

Мнение врача-педиатра.  ", нужно," в общем-то, никому нельзя", нет, Похмелье если только,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В резиденции «Дрозды» продают трехкомнатную квартиру. 

В каком доме и как это возможно?
 "," В резиденции ""Дрозды""? Нам вот это до... все равно.", дизайнерский интерьер, Витя съезжает?),NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Женщина решила продать детей, чтобы выжить. 

История одной фотографии.

 ", Какая война была на территории США в 1948 годк , М.. да... Ужас (," Да нет, тутки паскуда просто так не пишут, тем более о хозяевах своих."," Ой, ну что вы тут страху нагоняете. Всем известно, что прекрасные США (там жеж демократия и выборы!) - это т… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Коронавирус в Беларуси: свежие данные от Минздрава

Всего заболели: 291 621  (+1 174 за сутки)
Выздоровели: 282 039… "," Если бы не было последней графы с тестами, являющимися столпом данной афёры века, то в первых трёх графах были бы нули.", нахуй публиковать рандомные цифры выдуманные людьми которые сотрудничают с террористами?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Минске судили мужчину, который несколько раз ударил в автобусе пассажира в красно-зеленой куртке. 

Рассказываем,… "," Тутки, на  минуточку, у этого упыря судимость была не погашена!  Но это как раз герой туток. Подобное тянетс… "," А ботинки снимает, прежде чем на лавку встать?", Сажать не стоило. А вот в псих. Больницу года на 2 нормально.," Судили конченого выродка, а не мужчину, жаль, что такое говно ещё и наплодило после себя немало. 
Его ""показ… ", Ничего нового. Умственно отсталый прокладочник.," токсичность КЗ-символики зашкаливает
Она порождает конфликты и убивает мозг носителя",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Если не найдется 500 млн долларов, то «Полимир» придется закрыть.

 ", Понятно! Скоро за рубль продаст россиянцам.," Смешно читать про 500млн и полимир в одном предложении.

У них там пожар был однажды потому что в какой-то т… ", 🤦‍♂️ “Одна установка введена в эксплуатацию еще в 1967 году”, Ждем завтра сказон сколько надо на мотовело на модернизацию, , Вырезайте. Не дефицит, Луканомика плешивого цыгана в действии, Пашукайце за канапай, Это к имеющейся долговой нагрузки в $750 млн Сибуру," И где упоминание ""если не"" и ""то придётся"" в свершившейся форме? 
Уже есть инвестор, который вошёл в состав… ", За диванами смотрели уже?," за диваном есть 900 тысяч, хватит ещё на один убыточный завод"," Хех, делов то ) Правительство ж уже схемку придумало - печатаем акции Полимира, и отдаём банкам в счёт долга… "," У старшего братика из Кремля пусть попросят, там быстро дают денежки."," 40AwzxJ5u ,прокомментируете?или заготовок от начальства еще не пришло?😁", Пусть за диваном посмотрят, Рыночек решает!," 27 лет закапывал деньги в землю. О заводах только сейчас вспомнил. Миллиарды, где они?", Не найдется 😐," Стартовый капитал Дж.Безоса, взятый  для основания Амазон был 300к уе

А колхозникам надо 500 млн уе штоб абасраную корову помыть", да и хрен с ним," Следовало ожидать. Продукция и так сомнительного качества, так еще по старой традции: чтобы больше заработат… ", Всё не вечно," Не знаю о чем вы, на сайте указанно «Более полувека устойчивого развития!»"," Тихановская, прекрати душить Полимир!!1"," Я знаю у кого попросить, он всем даёт - пенсионерам, учителям...", Ябатьки никак не успокоятся, BYSOL поможет протестному Новополоцку?," Тутбай, дайте 500 мил!!! Вы же для народа фигней страдаете!!! Пострадайте ради Полимира!!!! Литовцы Вам платят сполна!!!",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Freedom House: Уровень свобод в Беларуси — 11 из 100, как в Узбекистане, Йемене, секторе Газа.… "," ...а также во Франции, Нидерландах, Германии, Британии, США и многих других странах, с западной дерьмократие… ", Сектор газа = беларусь?," В сколеновстане такой же.
Только об этом не так говорят и не догадываются.", я был лучшего мнения об Узбекистане," Украина 60 из 100 ха ха ха
Надо брать пример с Украины и для начала обрезать ТуТ интернет и тогда у нас сразу оценка вырастет."," Где-то тихо плачут европейские и американские традиционалисты, которых ни разу вот не преследуют", 11 из 100 это потому что пока ещё можно дышать?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Барановичах вынесли приговор физруку, ударившему в школе подростка в пах.

 "," Интересно, отделался бы он химией, если бы какому мусору по яйцам зарядил? Вопрос, естесна, риторический.", Бачыце шчанюкоў біць можна застаўся на воле," Учитель года, педагог от бога"," 2,5 года ДОМАШНЕЙ химии за тяжкое телесное повреждение? Ну конечно не отравлять же его в колонию к журналист… ", За айкос и двор стреляю в упор, что-то не так с учителями... может консерваторию поменять? ," Охренеть, откуда таких садистов набирают в учителя?!",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Беларусь по уровню продовольственной безопасности обошла Россию, Польшу и Украину.

 "," Сколеновстан только ленивый гаитянец не обойдёт, да и то окажется в лучшей позиции."," Как Украина может быть ниже нас по списку?
 Выходит прибалтики продовольственная безопасность отсутствует."," бред. в магазинах в массе российское. местное мясо, молочка, чутка зелени и круп, и все."," Фины конечно молодцы, первое место"," Это если даже сейчас аграрии на такое способны с откровенно деградирующим АПК, может не так уж и страшна кон… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Лукашенко и Кубраков поздравили милиционеров.

«Мы с вами не допустили гражданского раскола».… "," Правильно! Не допустили, а ""Создали""!", Конечно не допустили. Сами же и раскололи. И как дрова в топку репрессий.," И у каждого на тыкве нахлобучен ""вымирал кузнетцов""."," Вы же откололись от общества и назвали это расколом. А люди живут в Беларуси, в котой никакого раскола нет.… "," ""Мы с вами сделали гражданский раскол""", Они в своём уме? Что это если не раскол, Уебак плешивый, Военщина одна.👎," И этот человек возомнил себя президентом... Книжки читать надо было, а не за коровами ходить..."," Как раз наоборот, они же специально и разделили людей!", Мрази, Да граждан Белоруссии в моментах практически нет одни холуи заграничные.., ," Горите в аду, мрази!!!", ,"  Тутки проститутки, пупок у вас развяжется от потуг ваших,гнилые твари."," Дух Йосифа Сталина, приди! Дух Виссарионыча, приди!.. Хунта, что с неё возьмёшь.. Раскол общества состоялся… "," Поупивайтесь сегодня водки до смерти, мы реально это оценим"," Ну да, вся страна едина против них)"," Хунта,а если прочесть наоборот?
А трудовой народ уничтожит хунту!!!", Новости с параллельной вселенной,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Беларуси ввели изменения по таможенным платежам при пересечении границы.

 "," Правильно! Не допустили, а ""Создали""!", Конечно не допустили. Сами же и раскололи. И как дрова в топку репрессий.," И у каждого на тыкве нахлобучен ""вымирал кузнетцов""."," Вы же откололись от общества и назвали это расколом. А люди живут в Беларуси, в котой никакого раскола нет.… "," ""Мы с вами сделали гражданский раскол""", Они в своём уме? Что это если не раскол, Уебак плешивый, Военщина одна.👎," И этот человек возомнил себя президентом... Книжки читать надо было, а не за коровами ходить..."," Как раз наоборот, они же специально и разделили людей!", Мрази, Да граждан Белоруссии в моментах практически нет одни холуи заграничные.., ," Горите в аду, мрази!!!", ,"  Тутки проститутки, пупок у вас развяжется от потуг ваших,гнилые твари."," Дух Йосифа Сталина, приди! Дух Виссарионыча, приди!.. Хунта, что с неё возьмёшь.. Раскол общества состоялся… "," Поупивайтесь сегодня водки до смерти, мы реально это оценим"," Ну да, вся страна едина против них)"," Хунта,а если прочесть наоборот?
А трудовой народ уничтожит хунту!!!", Новости с параллельной вселенной,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Сколько нужно зарабатывать, чтобы взять 20 тысяч рублей в кредит?

Рассказываем.  "," Не важно сколько, не надо кредит брать.",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Артем Шрайбман — об увольнении декана ФМО БГУ.

«Если есть выбор — а у лучших он обычно есть — они уходят».… ", Да вы что правда., Another who follows their conscience 👍,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Носкевич: Уголовное дело Тихановского до конца месяца будет передано прокурору для направления в суд.… ," И лозунг хороший на майке, только надо было придерживаться его, и жить."," 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Туристов в Беларуси в 2020 году стало в 10 раз меньше. 

Показатели на уровне начала 90-х годов.… ", Get rid of the antique government and Belarus will become the world’s new rising star!,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Наши в Эстонии: «Многое отдают бесплатно. А на специальных „мусорках“ можно найти классную мебель».

Любопытно!… "," Может хватит пиzдеть, а? Собирайте свои чемоданы и в Эстонию, по помойкам лазить."," Тутки, ваши статьи это анекдоты 🤣🤣🤣🤣. Высер за высером. В Эстонии нет своих предприятий, вся медецина платна… ", Неплохо платят за русофобию. Многие постсоветские страны впали в искушение на этом разбогатеть, Все кто мог оттуда уже уехали в Финляндию,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Жителя «Пирса», отказавшегося снимать флаг с балкона, задержали.

 ", Хорошо!!!!, Мрази, 🤡 show in HELLarus 🇧🇾,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Учительница в Чечерске ударила школьника о парту — и тот попал в больницу. 

Чем закончилась проверка милиции?… "," Головой об стену бить нужно родителей, которые своих отпрысков, зачатых на пьяную голову, не учат дисциплине… ", Отец года," Детки вырастут, станут милиционерами и тоже будут бить этого мальчика по голове.", Ўсё па запаветам сіпатага- не дакапацца!," а СОП не хочет проверить эту семью?
я не удивлюсь, если такой папаша и жену колотит"," Извините уж, но отец полный ....ил, у меня есть сын, ( ещё только в сад пойдёт), и если, что то похожее прои… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Начальник минской милиции поговорил о протестах, киберпреступлениях и удаленном доступе к компьютерам.… "," Да, поговорил. А вот сказал ли что-то? Нет",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"История мотоциклистки, которая в 25 лет стала жертвой страшной аварии.

«Парень выдержал полгода».… "," Да, поговорил. А вот сказал ли что-то? Нет",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Что сейчас происходит со стартап-сообществом в Беларуси?

«Наш пессимизм не оправдался».  "," Да, поговорил. А вот сказал ли что-то? Нет",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Медики написали открытое письмо главе профсоюза: «Мог ли врач промолчать и позволить опорочить имя убитого?»… , Когда предлагают бабки он промолчать не смог!," He did nothing wrong : ( unacceptable !

Take NOTE:
Judge: Sviatlana Bandarenka / Svetlana Bondarenko
Prosec… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Сообщество _Pol опубликовало аудио: на нем предположительно Юрий Караев выступает перед силовиками. 

Мужчина на… ", _Pol Позор🤦‍♂️, _Pol Опять поляки с литовцами слепили какую-то шнягу!, _Pol Не “преследовать” а забіваць КараеўЗабойца," _Pol Can he read sign language?
",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Минском районе пропал 15-летний подросток.

  ", _Pol Позор🤦‍♂️, _Pol Опять поляки с литовцами слепили какую-то шнягу!, _Pol Не “преследовать” а забіваць КараеўЗабойца," _Pol Can he read sign language?
",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Полиция начала проверку после попытки жены Мамаева покончить с собой.

 ", _Pol Позор🤦‍♂️, _Pol Опять поляки с литовцами слепили какую-то шнягу!, _Pol Не “преследовать” а забіваць КараеўЗабойца," _Pol Can he read sign language?
",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
